inputfile,,,,,,,,,,,min,lower,avg,median,upper,max
jedit-3.2.csv pf,0.18840579710144928,0.15942028985507245,0.2898550724637681,0.2753623188405797,0.17391304347826086,0.2028985507246377,0.2028985507246377,0.18840579710144928,0.18840579710144928,0.15942028985507245,0.15942028985507245,0.18115942028985507,0.2028985507246377,0.18840579710144928,0.2028985507246377,0.2898550724637681,0.04250109651772516
jedit-3.2.csv pf,0.2318840579710145,0.2318840579710145,0.2318840579710145,0.18840579710144928,0.21739130434782608,0.2028985507246377,0.2318840579710145,0.2028985507246377,0.21739130434782608,0.2028985507246377,0.18840579710144928,0.2028985507246377,0.21594202898550724,0.21739130434782608,0.2318840579710145,0.2318840579710145,0.015130878998421086
jedit-3.2.csv pf,0.2702702702702703,0.21621621621621623,0.25675675675675674,0.25675675675675674,0.24324324324324326,0.25675675675675674,0.2702702702702703,0.2702702702702703,0.24324324324324326,0.28378378378378377,0.21621621621621623,0.25,0.25675675675675674,0.25675675675675674,0.2702702702702703,0.28378378378378377,0.01813028089864694
jedit-3.2.csv pf,0.15942028985507245,0.17391304347826086,0.15942028985507245,0.2028985507246377,0.21739130434782608,0.15942028985507245,0.15942028985507245,0.2028985507246377,0.18840579710144928,0.14492753623188406,0.14492753623188406,0.15942028985507245,0.17681159420289855,0.16666666666666666,0.1956521739130435,0.21739130434782608,0.023188405797101456
jedit-3.2.csv pf,0.11940298507462686,0.11940298507462686,0.14925373134328357,0.1044776119402985,0.1044776119402985,0.13432835820895522,0.14925373134328357,0.11940298507462686,0.11940298507462686,0.11940298507462686,0.1044776119402985,0.11940298507462686,0.12388059701492535,0.11940298507462686,0.12686567164179105,0.14925373134328357,0.014999814359881923
jedit-3.2.csv pf,0.20689655172413793,0.25862068965517243,0.20689655172413793,0.1896551724137931,0.22413793103448276,0.25862068965517243,0.20689655172413793,0.22413793103448276,0.20689655172413793,0.2413793103448276,0.1896551724137931,0.20689655172413793,0.22241379310344828,0.21551724137931033,0.2327586206896552,0.25862068965517243,0.022413793103448286
jedit-3.2.csv pf,0.27419354838709675,0.22580645161290322,0.22580645161290322,0.1935483870967742,0.1935483870967742,0.22580645161290322,0.20967741935483872,0.22580645161290322,0.20967741935483872,0.22580645161290322,0.1935483870967742,0.20967741935483872,0.22096774193548385,0.22580645161290322,0.22580645161290322,0.27419354838709675,0.02169939362431243
jedit-3.2.csv pf,0.2857142857142857,0.2698412698412698,0.2698412698412698,0.25396825396825395,0.2698412698412698,0.2698412698412698,0.25396825396825395,0.2698412698412698,0.2857142857142857,0.23809523809523808,0.23809523809523808,0.26190476190476186,0.2666666666666666,0.2698412698412698,0.2698412698412698,0.2857142857142857,0.013837774423938643
jedit-3.2.csv pf,0.22950819672131148,0.19672131147540983,0.2459016393442623,0.22950819672131148,0.22950819672131148,0.2459016393442623,0.22950819672131148,0.22950819672131148,0.26229508196721313,0.2786885245901639,0.19672131147540983,0.22950819672131148,0.23770491803278687,0.22950819672131148,0.2459016393442623,0.2786885245901639,0.021057758325680534
jedit-3.2.csv pf,0.109375,0.109375,0.125,0.125,0.125,0.125,0.140625,0.109375,0.109375,0.140625,0.109375,0.109375,0.121875,0.125,0.125,0.140625,0.011692679333668566
