inputfile,,,,,,,,,,,min,lower,avg,median,upper,max,variance
jedit-3.2.csv mcc,0.5243309659742438,0.5855613105522302,0.3581834392060346,0.4281279938749727,0.541708701391931,0.4540034830713326,0.5073889749239235,0.444554224474387,0.4712755847065716,0.5072463768115942,0.3581834392060346,0.4492788537728598,0.4822381054987222,0.4892609807590829,0.5158599704490836,0.5855613105522302,0.061560649210394634
jedit-3.2.csv mcc,0.5755670847389608,0.5448461202906978,0.5755670847389608,0.623853283735609,0.5912465361539091,0.6073313627432362,0.5755670847389608,0.6073313627432362,0.5607244464567694,0.6073313627432362,0.5448461202906978,0.5755670847389608,0.5869365729083575,0.5834068104464349,0.6073313627432362,0.623853283735609,0.023400297513243674
jedit-3.2.csv mcc,0.4289382265196474,0.48783657566001415,0.41634591789030834,0.44322370941245687,0.45778686041520417,0.41634591789030834,0.4019487425655179,0.4289382265196474,0.5111898219275368,0.3606737757185789,0.3606737757185789,0.41634591789030834,0.435322777451922,0.4289382265196474,0.4505052849138305,0.5111898219275368,0.04070458725029769
jedit-3.2.csv mcc,0.7278961298974822,0.6546471217645332,0.6998424251499508,0.6792107413176571,0.6637962423770599,0.7278961298974822,0.7278961298974822,0.6792107413176571,0.6950135566531725,0.6617678774332314,0.6546471217645332,0.6715034918473586,0.6917177095705709,0.6871121489854148,0.7138692775237165,0.7278961298974822,0.02714256006464161
jedit-3.2.csv mcc,0.6278877848489118,0.6278877848489118,0.5897182846328761,0.575846461412706,0.6239368051054159,0.559558614348574,0.5650319829424307,0.6520255863539446,0.5794322218041905,0.6037001291695753,0.559558614348574,0.5776393416084482,0.6005025655467537,0.5967092069012256,0.6259122949771638,0.6520255863539446,0.029692866287552626
jedit-3.2.csv mcc,0.5004205214465938,0.46799742175314574,0.5004205214465938,0.5420521446593777,0.4587888982338099,0.42165475264437696,0.5004205214465938,0.4587888982338099,0.5004205214465938,0.44006953144962413,0.42165475264437696,0.4587888982338099,0.47910337327605196,0.48420897159986975,0.5004205214465938,0.5420521446593777,0.033989577542380744
jedit-3.2.csv mcc,0.4688649597480193,0.5695713373076949,0.5695713373076949,0.6042330460394374,0.5552771538857098,0.5197428319746008,0.5867313827092352,0.5446092602377238,0.5373300065407692,0.5695713373076949,0.4688649597480193,0.5409696333892465,0.552550265305858,0.5624242455967023,0.5695713373076949,0.6042330460394374,0.03618054600937207
jedit-3.2.csv mcc,0.2984408495871894,0.40744590153473303,0.3155245838172667,0.3099003040934663,0.3155245838172667,0.292439245570735,0.3099003040934663,0.292439245570735,0.36773233662413113,0.35054296692539627,0.292439245570735,0.3041705768403279,0.32598903216343855,0.3127124439553665,0.3330337753713315,0.40744590153473303,0.03567548622184338
jedit-3.2.csv mcc,0.40170014298614776,0.4668250638102412,0.41107705167001124,0.456698353744369,0.456698353744369,0.4387106216524765,0.4292354054715232,0.4292354054715232,0.3654557495956534,0.3478762638653999,0.3478762638653999,0.4063885973280795,0.42035124120117145,0.4292354054715232,0.44770448769842275,0.4668250638102412,0.037412533144648756
jedit-3.2.csv mcc,0.6978631577988531,0.6978631577988531,0.598592227720047,0.6513389472789296,0.6513389472789296,0.625,0.6580433703665529,0.7238482967695945,0.7238482967695945,0.6314421312245398,0.598592227720047,0.6413905392517347,0.6659178533005894,0.6546911588227413,0.6978631577988531,0.7238482967695945,0.040786713515880285
ivy-2.0.csv mcc,0.385735602603734,0.2834719805886001,0.3188681113373687,0.3004450915390212,0.3992434804845363,0.38845708838892257,0.41355525991944037,0.3992434804845363,0.3992434804845363,0.2834719805886001,0.2834719805886001,0.30965660143819496,0.35717355564192965,0.3870963454963283,0.3992434804845363,0.41355525991944037,0.050825438795285185
ivy-2.0.csv mcc,0.042997913101747186,0.011005274950052022,0.01766361455870012,0.05666379965459326,0.10135574458807009,0.06375469626237033,0.07103844985564178,0.04974970613480364,0.03150976076905804,0.07103844985564178,0.011005274950052022,0.037253836935402615,0.05167774097306782,0.05320675289469845,0.06739657305900607,0.10135574458807009,0.02585595910835212
ivy-2.0.csv mcc,0.3326429632446305,0.3208756136266666,0.3326429632446305,0.3326429632446305,0.34501995770199184,0.3096585846482119,0.3208756136266666,0.3326429632446305,0.3208756136266666,0.3096585846482119,0.3096585846482119,0.3208756136266666,0.3257535820856937,0.32675928843564855,0.3326429632446305,0.34501995770199184,0.010726272112377267
ivy-2.0.csv mcc,0.1992702853326139,0.18831474866522427,0.21086330226867978,0.151634649597591,0.22318057581617265,0.21086330226867978,0.22318057581617265,0.21086330226867978,0.2363261143433382,0.21086330226867978,0.151634649597591,0.20506679380064685,0.20653601586458317,0.21086330226867978,0.21702193904242623,0.2363261143433382,0.022170700905308344
ivy-2.0.csv mcc,0.4353781168164614,0.4353781168164614,0.467758355897749,0.32936830977415466,0.32936830977415466,0.3832241563414435,0.3832241563414435,0.3985633328359518,0.4353781168164614,0.467758355897749,0.32936830977415466,0.3832241563414435,0.40653993273120304,0.41697072482620656,0.4353781168164614,0.467758355897749,0.04801261192317645
ivy-2.0.csv mcc,0.4272087646940305,0.4135432414489048,0.4272087646940305,0.4272087646940305,0.37756315724283895,0.4007800012175632,0.13103256128342494,0.30097486472758633,0.4007800012175632,0.4135432414489048,0.13103256128342494,0.38917157923020107,0.37198433626688776,0.40716162133323397,0.42037600307146766,0.4272087646940305,0.08797335078563655
ivy-2.0.csv mcc,0.48796705088958886,0.4587519130863876,0.5701799855044575,0.5531651537224358,0.48796705088958886,0.5218919613391376,0.4227689480567419,0.4729696357398171,0.520665660091779,0.4587519130863876,0.4227689480567419,0.46586077441310236,0.4955079272406321,0.48796705088958886,0.5212788107154582,0.5701799855044575,0.04340964557588385
